ts,ad_id,model_key,price,condition,extras,location,title
2026-09-12T13:51:42+00:00,3510591315,switch,500,gebraucht,2,48653 Coesfeld,Nintendo Switch Konsole mit viel Zubehör und 8 Spielen
2026-09-12T13:51:42+00:00,3510591180,switch_oled,300,gebraucht,0,94469 Deggendorf,Nintendo Switch OLED Konsole mit Spielen & Zubehör
2026-09-12T13:54:49+00:00,3510597721,ps5_disc,500,gebraucht,0,21706 Drochtersen,PS5 Disc Edition
2026-09-12T13:54:51+00:00,3510597319,switch2,500,gebraucht,0,38446 Wolfsburg,"Nintendo Switch 2 mit Mario Kart, EA FC26 und Dragon Quest"
2026-09-12T13:54:51+00:00,3510596546,switch,90,gebraucht,0,51545 Waldbröl,Nintendo Switch zu verkaufen
2026-09-12T13:54:51+00:00,3510595187,switch_oled,245,gebraucht,0,86161 Augsburg,Nintendo Switch OLED Modell weiß mit Zubehör
2026-09-12T13:54:57+00:00,3510596702,steamdeck,395,gebraucht,0,87700 Memmingen,Steam Deck LCD 265 GB +  Tasche + Netzteil +  TOP-Zustand!!
2026-09-12T13:57:59+00:00,3510600691,ps5_digital,380,gebraucht,0,08393 Meerane,Sony PlayStation 5 Slim Digital
2026-09-12T13:57:59+00:00,3510599899,ps5_disc,299,gebraucht,0,35510 Butzbach,PS VR 2 PS5
2026-09-12T13:57:59+00:00,3510598621,ps5_disc,450,gebraucht,0,23769 Fehmarn,Playstation 5 Disc Version 825 GB + Controller - Ostholstein
2026-09-12T13:57:59+00:00,3510599080,ps5_slim,475,gebraucht,0,49088 Osnabrück,Playstation 5 Slim mit Disklaufwerk
2026-09-12T13:58:04+00:00,3510599023,switch2,265,gebraucht,0,94474 Vilshofen an der Donau,NINTENDO SWITCH 2 MARIO KART EDITION
2026-09-12T13:58:04+00:00,3510598758,switch_oled,260,gebraucht,0,47228 Rheinhausen,Nintendo Switch OLED | 4 JoyCons | 1 GamePad | 2 Spiele | Case
2026-09-12T13:58:07+00:00,3510598821,xbox_series_x,555,neu,0,31737 Rinteln,Xbox Series X 1TB | Top Zustand| OVP & Zubehör | Zusatzgarantie
2026-09-12T14:01:12+00:00,3510602590,ps5_pro,890,gebraucht,0,66969 Lemberg,Ps5 Pro mit Laufwerk top Zustand
2026-09-12T14:01:17+00:00,3510605746,switch,210,gebraucht,0,26529 Rechtsupweg,Nintendo Switch Konsole
